Impulz; Pulz/Sekunda; uSv/h; Pulz/Minuta; Sekunda měření; % do konce
431; 1.01; 0.3808; 60.44; 427.9; 0.713
432; 1.01; 0.381; 60.47; 428.6; 0.714
433; 1.01; 0.3816; 60.57; 428.9; 0.715
434; 1.01; 0.3806; 60.42; 431.0; 0.718
435; 1.01; 0.3812; 60.51; 431.3; 0.719
436; 1.01; 0.3804; 60.38; 433.2; 0.722
437; 1.01; 0.3812; 60.5; 433.4; 0.722
438; 1.01; 0.3812; 60.51; 434.3; 0.724
439; 1.01; 0.382; 60.64; 434.4; 0.724
440; 1.01; 0.3823; 60.68; 435.1; 0.725
441; 1.01; 0.3817; 60.6; 436.7; 0.728
442; 1.01; 0.3825; 60.71; 436.9; 0.728
443; 1.01; 0.3831; 60.81; 437.1; 0.729
444; 1.01; 0.3826; 60.73; 438.7; 0.731
445; 1.01; 0.3821; 60.65; 440.3; 0.734
446; 1.01; 0.3825; 60.72; 440.7; 0.735
447; 1.01; 0.3829; 60.78; 441.3; 0.735
448; 1.01; 0.3836; 60.89; 441.5; 0.736
449; 1.02; 0.384; 60.96; 441.9; 0.737
450; 1.02; 0.3842; 60.99; 442.7; 0.738
451; 1.02; 0.385; 61.11; 442.8; 0.738
452; 1.02; 0.3846; 61.05; 444.2; 0.74
453; 1.01; 0.3829; 60.78; 447.2; 0.745
454; 1.01; 0.3837; 60.9; 447.3; 0.745
455; 1.02; 0.3845; 61.03; 447.3; 0.746
456; 1.02; 0.385; 61.11; 447.7; 0.746
457; 1.02; 0.3855; 61.19; 448.1; 0.747
458; 1.02; 0.3855; 61.19; 449.1; 0.749
459; 1.02; 0.3861; 61.28; 449.4; 0.749
460; 1.02; 0.3866; 61.37; 449.8; 0.75
461; 1.02; 0.386; 61.28; 451.4; 0.752
462; 1.02; 0.3865; 61.36; 451.8; 0.753
463; 1.02; 0.3866; 61.37; 452.7; 0.754
464; 1.02; 0.3869; 61.42; 453.3; 0.755
465; 1.02; 0.3872; 61.46; 453.9; 0.757
466; 1.02; 0.3858; 61.23; 456.6; 0.761
467; 1.02; 0.3863; 61.32; 456.9; 0.762
468; 1.02; 0.3865; 61.35; 457.7; 0.763
469; 1.02; 0.3872; 61.46; 457.8; 0.763
470; 1.03; 0.3878; 61.55; 458.1; 0.764
471; 1.03; 0.3876; 61.52; 459.3; 0.766
472; 1.02; 0.3868; 61.39; 461.3; 0.769
473; 1.02; 0.3868; 61.39; 462.3; 0.77
474; 1.03; 0.3875; 61.5; 462.4; 0.771
475; 1.03; 0.3875; 61.51; 463.4; 0.772
476; 1.03; 0.3877; 61.54; 464.1; 0.774
477; 1.02; 0.3873; 61.48; 465.5; 0.776
478; 1.03; 0.3879; 61.57; 465.8; 0.776
479; 1.03; 0.3885; 61.67; 466.0; 0.777
480; 1.02; 0.3868; 61.4; 469.1; 0.782
481; 1.02; 0.3858; 61.24; 471.3; 0.785
482; 1.02; 0.3845; 61.04; 473.8; 0.79
483; 1.02; 0.3843; 60.99; 475.1; 0.792
484; 1.02; 0.3849; 61.1; 475.3; 0.792
485; 1.02; 0.3852; 61.14; 475.9; 0.793
486; 1.02; 0.3859; 61.26; 476.0; 0.793
487; 1.02; 0.3851; 61.13; 478.0; 0.797
488; 1.02; 0.3857; 61.22; 478.3; 0.797
489; 1.02; 0.3851; 61.13; 480.0; 0.8
490; 1.01; 0.3827; 60.75; 484.0; 0.807
491; 1.01; 0.3831; 60.81; 484.5; 0.807
492; 1.02; 0.3837; 60.91; 484.6; 0.808
493; 1.02; 0.384; 60.96; 485.2; 0.809
494; 1.02; 0.3837; 60.9; 486.7; 0.811
